Model,Train AUC,Test AUC,Test Gini,Test KS,Precision (Bad),Recall (Bad),Recall (Good),F1 (Bad),TP,FP,TN,FN,Threshold,Train Time (s)
LightGBM,0.8207,0.7802,0.5603,0.4241,0.1756,0.7215,0.7026,0.2825,3582,16812,39726,1383,0.4844,11.11
TabNet + MHA + Focal Loss,0.7883,0.7795,0.559,0.4237,0.1779,0.7132,0.7105,0.2847,3541,16367,40171,1424,0.5811,
TabNet + MHA + BCE Loss,0.7868,0.7781,0.5561,0.4175,0.1893,0.6693,0.7482,0.2951,3323,14234,42304,1642,0.537,
CatBoost,0.913,0.7772,0.5544,0.4202,0.1741,0.7204,0.6998,0.2804,3577,16974,39564,1388,0.4059,78.86
TabNet + no MHA + Focal Loss,0.781,0.7755,0.551,0.4147,0.1814,0.6868,0.7279,0.287,3410,15384,41154,1555,0.5823,
TabNet,0.7796,0.7721,0.5443,0.4109,0.1655,0.7376,0.6733,0.2703,3662,18470,38068,1303,0.4646,389.59
Logistic Regression,0.7684,0.7683,0.5366,0.4066,0.1657,0.7289,0.6777,0.27,3619,18225,38313,1346,0.4812,9.01
XGBoost,0.906,0.7659,0.5318,0.4035,0.1639,0.7311,0.6724,0.2677,3630,18522,38016,1335,0.3886,8.5
Random Forest,0.7897,0.7595,0.5189,0.3897,0.1611,0.7182,0.6715,0.2631,3566,18575,37963,1399,0.4697,129.18
Decision Tree,0.7408,0.7261,0.4522,0.3378,0.1531,0.6572,0.6806,0.2483,3263,18056,38482,1702,0.5151,15.33
